ｏ	ff4f	0xa70a
ｐ	ff50	0xa70b
ｑ	ff51	0xa70c
ｒ	ff52	0xa70d
ｓ	ff53	0xa70e
ｔ	ff54	0xa70f
ｕ	ff55	0xa710
ｖ	ff56	0xa711
ｗ	ff57	0xa712
ｘ	ff58	0xa713
ｙ	ff59	0xa714
ｚ	ff5a	0xa715
｛	ff5b	0xa716
｜	ff5c	0xa717
｝	ff5d	0xa718
￣	ffe3	0xa719
ぁ	3041	0xa71a
あ	3042	0xa71b
ぃ	3043	0xa71c
い	3044	0xa71d
ぅ	3045	0xa71e
う	3046	0xa71f
ぇ	3047	0xa720
え	3048	0xa721
ぉ	3049	0xa722
お	304a	0xa723
か	304b	0xa724
が	304c	0xa725
き	304d	0xa726
ぎ	304e	0xa727
く	304f	0xa728
ぐ	3050	0xa729
け	3051	0xa72a
げ	3052	0xa72b
こ	3053	0xa72c
ご	3054	0xa72d
さ	3055	0xa72e
ざ	3056	0xa72f
し	3057	0xa730
じ	3058	0xa731
す	3059	0xa732
ず	305a	0xa733
せ	305b	0xa734
ぜ	305c	0xa735
そ	305d	0xa736
ぞ	305e	0xa737
た	305f	0xa738
だ	3060	0xa739
ち	3061	0xa73a
ぢ	3062	0xa73b
っ	3063	0xa73c
つ	3064	0xa73d
づ	3065	0xa73e
て	3066	0xa73f
で	3067	0xa740
と	3068	0xa741
ど	3069	0xa742
な	306a	0xa743
に	306b	0xa744
ぬ	306c	0xa745
ね	306d	0xa746
の	306e	0xa747
は	306f	0xa748
ば	3070	0xa749
ぱ	3071	0xa74a
ひ	3072	0xa74b
び	3073	0xa74c
ぴ	3074	0xa74d
ふ	3075	0xa74e
ぶ	3076	0xa74f
ぷ	3077	0xa750
へ	3078	0xa751
べ	3079	0xa752
ぺ	307a	0xa753
ほ	307b	0xa754
ぼ	307c	0xa755
ぽ	307d	0xa756
ま	307e	0xa757
み	307f	0xa758
む	3080	0xa759
め	3081	0xa75a
も	3082	0xa75b
ゃ	3083	0xa75c
や	3084	0xa75d
ゅ	3085	0xa75e
ゆ	3086	0xa75f
ょ	3087	0xa760
よ	3088	0xa761
ら	3089	0xa762
り	308a	0xa763
る	308b	0xa764
れ	308c	0xa765
ろ	308d	0xa766
ゎ	308e	0xa767
わ	308f	0xa768
ゐ	3090	0xa769
ゑ	3091	0xa76a
を	3092	0xa76b
ん	3093	0xa76c
ァ	30a1	0xa778
ア	30a2	0xa779
ィ	30a3	0xa77a
イ	30a4	0xa77b
ゥ	30a5	0xa77c
ウ	30a6	0xa77d
ェ	30a7	0xa77e
エ	30a8	0xa77f
ォ	30a9	0xa780
オ	30aa	0xa781
カ	30ab	0xa782
ガ	30ac	0xa783
キ	30ad	0xa784
ギ	30ae	0xa785
ク	30af	0xa786
グ	30b0	0xa787
ケ	30b1	0xa788
ゲ	30b2	0xa789
コ	30b3	0xa78a
ゴ	30b4	0xa78b
サ	30b5	0xa78c
ザ	30b6	0xa78d
シ	30b7	0xa78e
ジ	30b8	0xa78f
ス	30b9	0xa790
ズ	30ba	0xa791
セ	30bb	0xa792
ゼ	30bc	0xa793
ソ	30bd	0xa794
ゾ	30be	0xa795
タ	30bf	0xa796
ダ	30c0	0xa797
チ	30c1	0xa798
ヂ	30c2	0xa799
ッ	30c3	0xa79a
ツ	30c4	0xa79b
ヅ	30c5	0xa79c
テ	30c6	0xa79d
デ	30c7	0xa79e
ト	30c8	0xa79f
ド	30c9	0xa7a0
ナ	30ca	0xa7a1
ニ	30cb	0xa7a2
ヌ	30cc	0xa7a3
ネ	30cd	0xa7a4
ノ	30ce	0xa7a5
ハ	30cf	0xa7a6
バ	30d0	0xa7a7
パ	30d1	0xa7a8
ヒ	30d2	0xa7a9
ビ	30d3	0xa7aa
ピ	30d4	0xa7ab
フ	30d5	0xa7ac
ブ	30d6	0xa7ad
プ	30d7	0xa7ae
ヘ	30d8	0xa7af
ベ	30d9	0xa7b0
ペ	30da	0xa7b1
ホ	30db	0xa7b2
ボ	30dc	0xa7b3
ポ	30dd	0xa7b4
マ	30de	0xa7b5
ミ	30df	0xa7b6
ム	30e0	0xa7b7
メ	30e1	0xa7b8
モ	30e2	0xa7b9
ャ	30e3	0xa7ba
ヤ	30e4	0xa7bb
ュ	30e5	0xa7bc
ユ	30e6	0xa7bd
ョ	30e7	0xa7be
ヨ	30e8	0xa7bf
ラ	30e9	0xa7c0
リ	30ea	0xa7c1
ル	30eb	0xa7c2
レ	30ec	0xa7c3
ロ	30ed	0xa7c4
ヮ	30ee	0xa7c5
ワ	30ef	0xa7c6
ヰ	30f0	0xa7c7
ヱ	30f1	0xa7c8
ヲ	30f2	0xa7c9
ン	30f3	0xa7ca
ヴ	30f4	0xa7cb
ヵ	30f5	0xa7cc
ヶ	30f6	0xa7cd
Α	0391	0xa7d6
Β	0392	0xa7d7
Γ	0393	0xa7d8
Δ	0394	0xa7d9
Ε	0395	0xa7da
Ζ	0396	0xa7db
Η	0397	0xa7dc
Θ	0398	0xa7dd
Ι	0399	0xa7de
Κ	039a	0xa7df
Λ	039b	0xa7e0
Μ	039c	0xa7e1
Ν	039d	0xa7e2
Ξ	039e	0xa7e3
Ο	039f	0xa7e4
Π	03a0	0xa7e5
Ρ	03a1	0xa7e6
Σ	03a3	0xa7e7
Τ	03a4	0xa7e8
Υ	03a5	0xa7e9
Φ	03a6	0xa7ea
Χ	03a7	0xa7eb
Ψ	03a8	0xa7ec
Ω	03a9	0xa7ed
α	03b1	0xa7f6
β	03b2	0xa7f7
γ	03b3	0xa7f8
δ	03b4	0xa7f9
ε	03b5	0xa7fa
ζ	03b6	0xa7fb
η	03b7	0xa7fc
θ	03b8	0xa7fd
ι	03b9	0xa7fe
κ	03ba	0xa7ff
λ	03bb	0xa800
μ	03bc	0xa801
ν	03bd	0xa802
ξ	03be	0xa803
ο	03bf	0xa804
π	03c0	0xa805
ρ	03c1	0xa806
σ	03c3	0xa807
τ	03c4	0xa808
υ	03c5	0xa809
φ	03c6	0xa80a
χ	03c7	0xa80b
ψ	03c8	0xa80c
ω	03c9	0xa80d
А	0410	0xa834
Б	0411	0xa835
В	0412	0xa836
Г	0413	0xa837
Д	0414	0xa838
Е	0415	0xa839
Ё	0401	0xa83a
Ж	0416	0xa83b
З	0417	0xa83c
И	0418	0xa83d
Й	0419	0xa83e
К	041a	0xa83f
Л	041b	0xa840
М	041c	0xa841
Н	041d	0xa842
О	041e	0xa843
П	041f	0xa844
Р	0420	0xa845
С	0421	0xa846
Т	0422	0xa847
У	0423	0xa848
Ф	0424	0xa849
Х	0425	0xa84a
Ц	0426	0xa84b
Ч	0427	0xa84c
Ш	0428	0xa84d
Щ	0429	0xa84e
Ъ	042a	0xa84f
Ы	042b	0xa850
Ь	042c	0xa851
Э	042d	0xa852
Ю	042e	0xa853
Я	042f	0xa854
а	0430	0xa864
б	0431	0xa865
в	0432	0xa866
г	0433	0xa867
д	0434	0xa868
е	0435	0xa869
ё	0451	0xa86a
ж	0436	0xa86b
з	0437	0xa86c
и	0438	0xa86d
й	0439	0xa86e
к	043a	0xa86f
л	043b	0xa870
м	043c	0xa871
н	043d	0xa872
о	043e	0xa873
