＼	3cff	0xa6f7
］	3dff	0xa6f8
＾	3eff	0xa6f9
＿	3fff	0xa6fa
｀	40ff	0xa6fb
ａ	41ff	0xa6fc
ｂ	42ff	0xa6fd
ｃ	43ff	0xa6fe
ｄ	44ff	0xa6ff
ｅ	45ff	0xa700
ｆ	46ff	0xa701
ｇ	47ff	0xa702
ｈ	48ff	0xa703
ｉ	49ff	0xa704
ｊ	4aff	0xa705
ｋ	4bff	0xa706
ｌ	4cff	0xa707
ｍ	4dff	0xa708
ｎ	4eff	0xa709
ｏ	4fff	0xa70a
ｐ	50ff	0xa70b
ｑ	51ff	0xa70c
ｒ	52ff	0xa70d
ｓ	53ff	0xa70e
ｔ	54ff	0xa70f
ｕ	55ff	0xa710
ｖ	56ff	0xa711
ｗ	57ff	0xa712
ｘ	58ff	0xa713
ｙ	59ff	0xa714
ｚ	5aff	0xa715
｛	5bff	0xa716
｜	5cff	0xa717
｝	5dff	0xa718
￣	e3ff	0xa719
ぁ	4130	0xa71a
あ	4230	0xa71b
ぃ	4330	0xa71c
い	4430	0xa71d
ぅ	4530	0xa71e
う	4630	0xa71f
ぇ	4730	0xa720
え	4830	0xa721
ぉ	4930	0xa722
お	4a30	0xa723
か	4b30	0xa724
が	4c30	0xa725
き	4d30	0xa726
ぎ	4e30	0xa727
く	4f30	0xa728
ぐ	5030	0xa729
け	5130	0xa72a
げ	5230	0xa72b
こ	5330	0xa72c
ご	5430	0xa72d
さ	5530	0xa72e
ざ	5630	0xa72f
し	5730	0xa730
じ	5830	0xa731
す	5930	0xa732
ず	5a30	0xa733
せ	5b30	0xa734
ぜ	5c30	0xa735
そ	5d30	0xa736
ぞ	5e30	0xa737
た	5f30	0xa738
だ	6030	0xa739
ち	6130	0xa73a
ぢ	6230	0xa73b
っ	6330	0xa73c
つ	6430	0xa73d
づ	6530	0xa73e
て	6630	0xa73f
で	6730	0xa740
と	6830	0xa741
ど	6930	0xa742
な	6a30	0xa743
に	6b30	0xa744
ぬ	6c30	0xa745
ね	6d30	0xa746
の	6e30	0xa747
は	6f30	0xa748
ば	7030	0xa749
ぱ	7130	0xa74a
ひ	7230	0xa74b
び	7330	0xa74c
ぴ	7430	0xa74d
ふ	7530	0xa74e
ぶ	7630	0xa74f
ぷ	7730	0xa750
へ	7830	0xa751
べ	7930	0xa752
ぺ	7a30	0xa753
ほ	7b30	0xa754
ぼ	7c30	0xa755
ぽ	7d30	0xa756
ま	7e30	0xa757
み	7f30	0xa758
む	8030	0xa759
め	8130	0xa75a
も	8230	0xa75b
ゃ	8330	0xa75c
や	8430	0xa75d
ゅ	8530	0xa75e
ゆ	8630	0xa75f
ょ	8730	0xa760
よ	8830	0xa761
ら	8930	0xa762
り	8a30	0xa763
る	8b30	0xa764
れ	8c30	0xa765
ろ	8d30	0xa766
ゎ	8e30	0xa767
わ	8f30	0xa768
ゐ	9030	0xa769
ゑ	9130	0xa76a
を	9230	0xa76b
ん	9330	0xa76c
ん	0000	0xa76c
ん	0000	0xa76c
ん	0000	0xa76c
ん	0000	0xa76c
ん	0000	0xa76c
ん	0000	0xa76c
ん	0000	0xa76c
ん	0000	0xa76c
ん	0000	0xa76c
ん	0000	0xa76c
ん	0000	0xa76c
ァ	a130	0xa778
ア	a230	0xa779
ィ	a330	0xa77a
イ	a430	0xa77b
ゥ	a530	0xa77c
ウ	a630	0xa77d
ェ	a730	0xa77e
エ	a830	0xa77f
ォ	a930	0xa780
オ	aa30	0xa781
カ	ab30	0xa782
ガ	ac30	0xa783
キ	ad30	0xa784
ギ	ae30	0xa785
ク	af30	0xa786
グ	b030	0xa787
ケ	b130	0xa788
ゲ	b230	0xa789
コ	b330	0xa78a
ゴ	b430	0xa78b
サ	b530	0xa78c
ザ	b630	0xa78d
シ	b730	0xa78e
ジ	b830	0xa78f
ス	b930	0xa790
ズ	ba30	0xa791
セ	bb30	0xa792
ゼ	bc30	0xa793
ソ	bd30	0xa794
ゾ	be30	0xa795
タ	bf30	0xa796
ダ	c030	0xa797
チ	c130	0xa798
ヂ	c230	0xa799
ッ	c330	0xa79a
ツ	c430	0xa79b
ヅ	c530	0xa79c
テ	c630	0xa79d
デ	c730	0xa79e
ト	c830	0xa79f
ド	c930	0xa7a0
ナ	ca30	0xa7a1
ニ	cb30	0xa7a2
ヌ	cc30	0xa7a3
ネ	cd30	0xa7a4
ノ	ce30	0xa7a5
ハ	cf30	0xa7a6
バ	d030	0xa7a7
パ	d130	0xa7a8
ヒ	d230	0xa7a9
ビ	d330	0xa7aa
ピ	d430	0xa7ab
フ	d530	0xa7ac
ブ	d630	0xa7ad
プ	d730	0xa7ae
ヘ	d830	0xa7af
ベ	d930	0xa7b0
ペ	da30	0xa7b1
ホ	db30	0xa7b2
ボ	dc30	0xa7b3
ポ	dd30	0xa7b4
マ	de30	0xa7b5
ミ	df30	0xa7b6
ム	e030	0xa7b7
メ	e130	0xa7b8
モ	e230	0xa7b9
ャ	e330	0xa7ba
ヤ	e430	0xa7bb
ュ	e530	0xa7bc
ユ	e630	0xa7bd
ョ	e730	0xa7be
ヨ	e830	0xa7bf
ラ	e930	0xa7c0
リ	ea30	0xa7c1
ル	eb30	0xa7c2
レ	ec30	0xa7c3
ロ	ed30	0xa7c4
ヮ	ee30	0xa7c5
ワ	ef30	0xa7c6
ヰ	f030	0xa7c7
ヱ	f130	0xa7c8
ヲ	f230	0xa7c9
ン	f330	0xa7ca
ヴ	f430	0xa7cb
ヵ	f530	0xa7cc
ヶ	f630	0xa7cd
ヶ	0000	0xa7cd
ヶ	0000	0xa7cd
ヶ	0000	0xa7cd
ヶ	0000	0xa7cd
ヶ	0000	0xa7cd
ヶ	0000	0xa7cd
ヶ	0000	0xa7cd
ヶ	0000	0xa7cd
Α	9103	0xa7d6
Β	9203	0xa7d7
Γ	9303	0xa7d8
Δ	9403	0xa7d9
Ε	9503	0xa7da
Ζ	9603	0xa7db
Η	9703	0xa7dc
Θ	9803	0xa7dd
Ι	9903	0xa7de
Κ	9a03	0xa7df
Λ	9b03	0xa7e0
Μ	9c03	0xa7e1
Ν	9d03	0xa7e2
Ξ	9e03	0xa7e3
Ο	9f03	0xa7e4
Π	a003	0xa7e5
Ρ	a103	0xa7e6
Σ	a303	0xa7e7
Τ	a403	0xa7e8
Υ	a503	0xa7e9
Φ	a603	0xa7ea
Χ	a703	0xa7eb
Ψ	a803	0xa7ec
Ω	a903	0xa7ed
Ω	0000	0xa7ed
Ω	0000	0xa7ed
Ω	0000	0xa7ed
Ω	0000	0xa7ed
Ω	0000	0xa7ed
Ω	0000	0xa7ed
Ω	0000	0xa7ed
Ω	0000	0xa7ed
α	b103	0xa7f6
β	b203	0xa7f7
γ	b303	0xa7f8
δ	b403	0xa7f9
ε	b503	0xa7fa
ζ	b603	0xa7fb
η	b703	0xa7fc
θ	b803	0xa7fd
ι	b903	0xa7fe
κ	ba03	0xa7ff
λ	bb03	0xa800
μ	bc03	0xa801
ν	bd03	0xa802
ξ	be03	0xa803
ο	bf03	0xa804
π	c003	0xa805
ρ	c103	0xa806
σ	c303	0xa807
τ	c403	0xa808
υ	c503	0xa809
φ	c603	0xa80a
χ	c703	0xa80b
ψ	c803	0xa80c
ω	c903	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
ω	0000	0xa80d
А	1004	0xa834
Б	1104	0xa835
В	1204	0xa836
Г	1304	0xa837
Д	1404	0xa838
Е	1504	0xa839
Ё	0104	0xa83a
Ж	1604	0xa83b
З	1704	0xa83c
И	1804	0xa83d
Й	1904	0xa83e
К	1a04	0xa83f
Л	1b04	0xa840
М	1c04	0xa841
Н	1d04	0xa842
О	1e04	0xa843
П	1f04	0xa844
Р	2004	0xa845
С	2104	0xa846
Т	2204	0xa847
У	2304	0xa848
Ф	2404	0xa849
Х	2504	0xa84a
Ц	2604	0xa84b
Ч	2704	0xa84c
Ш	2804	0xa84d
Щ	2904	0xa84e
Ъ	2a04	0xa84f
Ы	2b04	0xa850
Ь	2c04	0xa851
Э	2d04	0xa852
Ю	2e04	0xa853
Я	2f04	0xa854
Я	0000	0xa854
Я	0000	0xa854
Я	0000	0xa854
Я	0000	0xa854
Я	0000	0xa854
Я	0000	0xa854
Я	0000	0xa854
Я	0000	0xa854
Я	0000	0xa854
Я	0000	0xa854
Я	0000	0xa854
Я	0000	0xa854
Я	0000	0xa854
Я	0000	0xa854
Я	0000	0xa854
а	3004	0xa864
б	3104	0xa865
в	3204	0xa866
г	3304	0xa867
д	3404	0xa868
е	3504	0xa869
ё	5104	0xa86a
ж	3604	0xa86b
з	3704	0xa86c
и	3804	0xa86d
й	3904	0xa86e
к	3a04	0xa86f
л	3b04	0xa870
м	3c04	0xa871
н	3d04	0xa872
о	3e04	0xa873
п	3f04	0xa874
р	4004	0xa875
с	4104	0xa876
т	4204	0xa877
у	4304	0xa878
ф	4404	0xa879
х	4504	0xa87a
ц	4604	0xa87b
ч	4704	0xa87c
ш	4804	0xa87d
щ	4904	0xa87e
ъ	4a04	0xa87f
ы	4b04	0xa880
ь	4c04	0xa881
э	4d04	0xa882
ю	4e04	0xa883
я	4f04	0xa884
я	0000	0xa884
я	0000	0xa884
я	0000	0xa884
я	0000	0xa884
я	0000	0xa884
я	0000	0xa884
я	0000	0xa884
я	0000	0xa884
я	0000	0xa884
я	0000	0xa884
я	0000	0xa884
я	0000	0xa884
я	0000	0xa884
ā	0101	0xa892
á	e100	0xa893
ǎ	ce01	0xa894
à	e000	0xa895
ē	1301	0xa896
é	e900	0xa897
ě	1b01	0xa898
